BankKey,ItemKey,Grade,Subject,Claim,Target,InteractionCode,AslSupported,Stimulus,DOK
187,3641,Grade7,MATH,,,MC,True,,1
187,3643,Grade3,MATH,,,MC,True,,1
187,3674,Grade6,MATH,,,MS,True,,1
187,3676,Grade6,ELA,4,4,SA,False,3798,4
187,3678,Grade6,ELA,2,2,WER,False,3798,4
187,3679,Grade6,ELA,4,4,MI,False,3798,3
187,3677,Grade6,ELA,4,3,SA,False,3798,4
187,3680,High,ELA,1,4,EBSR,False,3792,4
187,3682,Grade5,ELA,3,4,MC,True,3799,2
187,3684,Grade5,ELA,3,4,MS,True,3799,1
187,3685,Grade5,ELA,3,4,MC,True,3799,3
187,3689,High,MATH,2,D,EQ,True,3802,2
187,3690,High,MATH,3,B,SA,True,3802,3
187,3695,Grade6,MATH,2,A,TI,True,3803,1
187,3693,High,MATH,4,F,EQ,True,3802,2
187,3694,High,MATH,4,F,TI,True,3802,3
187,3692,High,MATH,2,D,SA,True,3802,2
187,3698,Grade6,MATH,3,F,SA,True,3803,3
187,2799,Grade3,MATH,4,F,SA,True,3723,3
187,3691,High,MATH,2,A,SA,True,3802,3
187,2796,Grade3,MATH,4,F,EQ,True,3723,2
187,2797,Grade3,MATH,3,B,SA,True,3723,3
187,2795,Grade3,MATH,2,A,MS,True,3723,1
187,3696,Grade6,MATH,4,B,SA,True,3803,3
187,3697,Grade6,MATH,4,B,SA,True,3803,3
187,2801,Grade4,MATH,2,A,EQ,True,3769,2
187,3700,Grade7,MATH,4,F,EQ,True,3804,2
187,2798,Grade3,MATH,4,A,TI,True,3723,2
187,2805,Grade5,MATH,2,A,MC,True,3770,1
187,3702,Grade7,MATH,4,D,SA,True,3804,2
187,3701,Grade7,MATH,2,A,EQ,True,3804,2
187,2804,Grade4,MATH,4,A,SA,True,3769,3
187,2802,Grade4,MATH,3,B,SA,True,3769,2
187,3699,Grade6,MATH,2,A,SA,True,3803,3
187,3705,Grade7,MATH,3,B,SA,True,3804,3
187,2803,Grade4,MATH,4,E,TI,True,3769,4
187,2800,Grade4,MATH,2,A,EQ,True,3769,2
187,2806,Grade5,MATH,2,A,EQ,True,3770,1
187,3704,Grade7,MATH,2,A,EQ,True,3804,2
187,3706,Grade8,MATH,2,D,EQ,True,3805,2
187,2808,Grade5,MATH,3,B,SA,True,3770,3
187,3710,Grade8,MATH,4,A,SA,True,3805,3
187,3707,Grade8,MATH,2,D,SA,True,3805,2
187,3709,Grade8,MATH,3,E,SA,True,3805,2
187,3708,Grade8,MATH,4,F,EQ,True,3805,2
187,2807,Grade5,MATH,2,C,SA,True,3770,2
187,2809,Grade5,MATH,4,F,SA,True,3770,3
187,3639,Grade8,MATH,,,MS,True,,3
187,3637,Grade4,MATH,,,MS,True,,2
